name,address,postalCode,city,zone,latitude,longitude,hours,phone,email,googleMapsUrl,storeUrl
Mercearia da Glória  - Almirante Reis,Avenida Almirante Reis nº156 A/B,1900 - 117,Lisboa,Lisboa,38.7344,-9.1339,,,glorialmirantereis.7156@amanhecer.pt,"https://www.google.com/maps?q=38.7344,-9.1339",
Minimercado O Pereira,"Rua Luís de Camões nºNº8, R/C",7570 - 283,Grândola,Setúbal,38.17564,-8.56912,,,opereira.7155@amanhecer.pt,"https://www.google.com/maps?q=38.17564,-8.56912",
Super Primavera Campo,Rua da  Liberdade nº1,4830 - 091,Póvoa de Lanhoso,Braga,41.546096,-8.27702,,253730020,superprimavera.7154@amanhecer.pt,"https://www.google.com/maps?q=41.546096,-8.277020",
Olá Fruta Supermercado,"Rua Doutor Aurélio Ricardo Belo nº12, R/C",2560 - 324,Torres Vedras,Lisboa,39.0871,-9.2564,,,olafruta.7153@amanhecer.pt,"https://www.google.com/maps?q=39.0871,-9.2564",
Alfa Centauro Expresso,Estrada D. João V - Sítio do Saramago nº286,9240 - 216,São Vicente,Ilha da Madeira,32.78045,-17.03321,,291846020,alfacentauro.7152@amanhecer.pt,"https://www.google.com/maps?q=32.78045,-17.03321",
Supermercado Fresquinho XIX,Avenida 16 de Junho nº42 A,8670 - 440,Aljezur,Faro,37.373133,-8.799592,,,supermercfresquinho19.7151@amanhecer.pt,"https://www.google.com/maps?q=37.373133,-8.799592",
Mercearia D`Aldeia,N262 nº13,7630 - 711,Odemira,Beja,37.8136,-8.49648,,,merceariadaldeia.7150@amanhecer.pt,"https://www.google.com/maps?q=37.81360,-8.49648",
Supermercado Nazaré,Avenida Colégio Militar nº30,9000 - 135,Funchal,Ilha da Madeira,32.644245,-16.934416,,,nazare.7149@amanhecer.pt,"https://www.google.com/maps?q=32.644245,-16.934416",
Mercearia Samora,Rua da Associação Comercial de Lisboa nº25,2135 - 268,Benavente,Santarém,38.9378,-8.871,,,samora.7147@amanhecer.pt,"https://www.google.com/maps?q=38.9378,-8.8710",
Supermercado Fresquinho XVIII,Rua Frei Pedro de Sousa nº7,8500 - 682,Portimão,Faro,37.135464,-8.550313,,,supermercfresquinho18.7146@amanhecer.pt,"https://www.google.com/maps?q=37.135464,-8.550313",
As Manas Parente Supermercado,Estrada Municipal - Bairro Staf nº0,6225 - 051,Covilhã,Castelo Branco,40.153447,-7.748454,,,manasparente.7145@amanhecer.pt,"https://www.google.com/maps?q=40.153447,-7.748454",
Supermercado Fresquinho XVII,Rua da Igreja nº19,8500 - 059,Portimão,Faro,37.146932,-8.584812,,,supermercfresquinho17.7144@amanhecer.pt,"https://www.google.com/maps?q=37.146932,-8.584812",
Mercadinho da Vila,Do Rossio nº17,6150 - 523,Proença-a-Nova,Castelo Branco,39.751054,-7.927479,,,mercadinhodavila.7142@amanhecer.pt,"https://www.google.com/maps?q=39.751054,-7.927479",
Minallus Supermercados II,AV. 25 de Abril nº94,4600 - 014,Amarante,Porto,41.268073,-8.074366,,255176451,minallus.7122@amanhecer.pt,"https://www.google.com/maps?q=41.268073,-8.074366",
Supermercado Terra dos Sabores,Rua João Crisóstomo nº18,4820 - 266,Fafe,Braga,41.455585,-8.16728,,,terradossabores.7140@amanhecer.pt,"https://www.google.com/maps?q=41.455585,-8.16728",
Mercadinho da Vila III,Rua do Couto de Manhente nº1713,4750 - 554,Barcelos,Braga,41.546447,-8.588176,,,mercadinhodavila3.7139@amanhecer.pt,"https://www.google.com/maps?q=41.546447,-8.588176",
Super Forte da Casa,"Rua  Florbela Espanca Pares de 2 a 32 nº6, RC",2625 - 417,Vila Franca de Xira,Lisboa,38.8716,-9.0615,,,superfortedacasa.7138@amanhecer.pt,"https://www.google.com/maps?q=38.8716,-9.0615",
Supermercado Marivanda,Rua 40 nº44,7565 - 221,Santiago do Cacém,Setúbal,38.001481,-8.412189,,,marivanda.7137@amanhecer.pt,"https://www.google.com/maps?q=38.001481,-8.412189",
Mini Mercado Monte Real,Rua João de Deus Bairro Conde Monte Real nº388/388B,2785 - 140,Cascais,Lisboa,38.7222,-9.3511,,,montereal.7136@amanhecer.pt,"https://www.google.com/maps?q=38.7222,-9.3511",
Supermercado Girassol,Rua Vieira da Silva nº14 B,2675 - 216,Odivelas,Lisboa,38.8004,-9.1799,,,girassol.7135@amanhecer.pt,"https://www.google.com/maps?q=38.8004,-9.1799",
Supermercado Fresquinho XVI,"Rua Professor Doutor Montalvão Marques nº0, Bloco A loja A",8500 - 722,Portimão,Faro,37.1363,-8.54091,,,supermercfresquinho16.7134@amanhecer.pt,"https://www.google.com/maps?q=37.13630,-8.54091",
Mercearia da Infanta,"Edificio teleférico, Rua Infanta Dona Maria, Fonte da Cheira nº0, loja A",3030 - 331,Coimbra,Coimbra,40.20644,-8.40981,,,merceardainfanta.7133@amanhecer.pt,"https://www.google.com/maps?q=40.20644,-8.40981",
Mercearia & Café Maio,"Alameda dos Combatentes da Grande Guerra nº247, RC LJ6",2750 - 416,Cascais,Lisboa,38.7002,-9.421,,,mercecafemaio.7132@amanhecer.pt,"https://www.google.com/maps?q=38.7002,-9.4210",
A Ribeirinha,Rua D. Sancho Manuel nº49,3250 - 294,Alvaiázere,Leiria,39.87608,-8.334098,,,aribeirinha.7131@amanhecer.pt,"https://www.google.com/maps?q=39.876080,-8.334098",
O Mercado da Ota,"Rua Rainha Santa Isabel nº32, R/C",2580 - 243,Alenquer,Lisboa,39.1206,-8.9863,,,omercadodaota.7130@amanhecer.pt,"https://www.google.com/maps?q=39.1206,-8.9863",
Mercadinho do Povo,Rua Duque de Ávila e Bolama nº33,5450 - 030,Vila Pouca de Aguiar,Vila Real,41.500413,-7.645223,,,mercadinhodopovo.7129@amanhecer.pt,"https://www.google.com/maps?q=41.500413,-7.645223",
A Safra,"Rua Machado dos Santos 49 nº49, r/c",2430 - 249,Marinha Grande,Leiria,39.7509,-8.9322,,,asafra.7128@amanhecer.pt,"https://www.google.com/maps?q=39.7509,-8.9322",
Mercearia Caldense,Rua José Tanganho nº14,2500 - 855,Caldas da Rainha,Leiria,39.408519,-9.145398,,,caldense.7127@amanhecer.pt,"https://www.google.com/maps?q=39.408519,-9.145398",
Mercearia Elvira,Rua Rui Salema nº12,7580 - 115,Alcácer do Sal,Setúbal,38.371184,-8.511553,,,elvira.7126@amanhecer.pt,"https://www.google.com/maps?q=38.371184,-8.511553",
Minimercado Alentejano,Estrada Nacional 120-1 nº47 Loja 1,7555 - 267,Santiago do Cacém,Setúbal,37.86561,-8.719682,,,alentejano.7125@amanhecer.pt,"https://www.google.com/maps?q=37.865610,-8.719682",
Bemposta Supermercado,Largo da bemposta nº11,2495 - 186,Leiria,Leiria,39.672604,-8.683684,,,bemposta.7124@amanhecer.pt,"https://www.google.com/maps?q=39.672604,-8.683684",
Mini Market Valcarce - Palhoça,Estrada Nacional 115 nºkm 14,2550 - 306,Cadaval,Lisboa,39.29095,-9.06051,,,,"https://www.google.com/maps?q=39.29095,-9.06051",
Minallus Supermercados,Av. Républica nºS/N,4615 - 676,Felgueiras,Porto,41.325799,-8.147832,,255176451,minallus2.7141@amanhecer.pt,"https://www.google.com/maps?q=41.325799,-8.147832",
Mercado Albuquerque,Avenida Aquilino Ribeiro nº95,3650 - 209,Vila Nova de Paiva,Viseu,40.852636,-7.725841,,supermercados25albuq,albuquerque.7121@amanhecer.pt,"https://www.google.com/maps?q=40.852636,-7.725841",
O Económico,Rua António Machado Vilas Boas nº170,4900 - 503,Viana do Castelo,Viana do Castelo,41.70275,-8.828284,,258817057,oeconomico.7120@amanhecer.pt,"https://www.google.com/maps?q=41.702750,-8.828284",
Minimercado Dona,"Rua do Jornal ""O Porvir"" nº1",7800 - 303,Beja,Beja,38.0126,-7.871441,,,minimercadodona.7119@amanhecer.pt,"https://www.google.com/maps?q=38.01260,-7.871441",
Mercearia Radial,Avenida da Liberdade nº30 B,2620 - 316,Odivelas,Lisboa,38.806634,-9.186057,,,radial.7118@amanhecer.pt,"https://www.google.com/maps?q=38.806634,-9.186057",
Mercearia O Cesto Da Vila,Rua Marquês de Pombal nº1,2460 - 669,Alcobaça,Leiria,39.5303,-9.139,,,ocestodavila.7117@amanhecer.pt,"https://www.google.com/maps?q=39.5303,-9.1390",
Os Vizinhos,Avenida Dom Afonso Henriques nº53,2630 - 232,Arruda dos Vinhos,Lisboa,38.98816,-9.07916,,,osvizinhos.7116@amanhecer.pt,"https://www.google.com/maps?q= 38.98816,-9.07916",
Supermercado Canhas,"Estrada Regional 222 nº226, R/C",9360 - 300,Ponta do Sol,Ilha da Madeira,32.69739,-17.11758,,,canhas.7115@amanhecer.pt,"https://www.google.com/maps?q=32.69739,-17.11758",
Grand Villa Canha,Rua do Castelo nºn 18,2985 - 015,Montijo,Setúbal,38.766488,-8.626462,,,grandvillacanha.7114@amanhecer.pt,"https://www.google.com/maps?q=38.766488,-8.626462",
Mercadinho Baia,Largo das Portas de Portugal nº7,8600 - 657,Lagos,Faro,37.104889,-8.673637,,,mercbaia.7113@amanhecer.pt,"https://www.google.com/maps?q=37.104889,-8.673637",
Mercado dos Casalinhos,Rua da República nº7,2560 - 432,Torres Vedras,Lisboa,39.10277,-9.3451,,,casalinhos.7112@amanhecer.pt,"https://www.google.com/maps?q=39.10277,-9.34510",
Supermercado A Colmeia,Rua Damião de Góis nº6 A a E,2650 - 322,Amadora,Lisboa,38.7632,-9.2039,,,acolmeia.7111@amanhecer.pt,"https://www.google.com/maps?q=38.7632,-9.2039",
Amanhecer Vendeiro - Rates,Rua Tomé de Sousa nº166,4570 - 417,Vila do Conde,Porto,41.42279,-8.670555,,,sergio.vendeiro@mjvendeiro.pt,"https://www.google.com/maps?q=41.422790,-8.670555",
Amanhecer Vendeiro - Arco de Baúlhe,EN206 km 80,4860 - 083,Cabeceiras de Basto,Braga,41.48765,-7.963591,,,sergio.vendeiro@mjvendeiro.pt,"https://www.google.com/maps?q=41.487650,-7.963591",
Amanhecer Vendeiro - Escariz,Avenida da Liberdade nº175,4730 - 500,Vila Verde,Braga,41.636488,-8.528947,,,sergio.vendeiro@mjvendeiro.pt,"https://www.google.com/maps?q=41.636488,-8.528947",
O Poupadinho,"Rua Engenheiro Arlindo Maia nº21, R/C",4480 - 818,Vila do Conde,Porto,41.356066,-8.753129,,,opoupadinho.7107@amanhecer.pt,"https://www.google.com/maps?q=41.356066,-8.753129",
Praça das Palmeiras,"Praça das Palmeiras nº123, R/Ch",3500 - 392,Viseu,Viseu,40.6498,-7.89059,,,palmeiras.7106@amanhecer.pt,"https://www.google.com/maps?q=40.64980,-7.89059",
Mercadinho Da Vila (Carregado),"Rua Pedro Sintra nº87, R/C",2580 - 495,Alenquer,Lisboa,39.022114,-8.970556,,,mvilacarregado.7105@amanhecer.pt,"https://www.google.com/maps?q=39.022114,-8.970556",
O Terreiro Ansião,Rua Rosa Falcão nº2,3240 - 148,Ansião,Leiria,39.913711,-8.437973,,,terreiroansiao.7104@amanhecer.pt,"https://www.google.com/maps?q=39.913711,-8.437973",
O Terreiro Alvorge,Largo do Cruzeiro nº39,3240 - 402,Ansião,Leiria,39.978635,-8.455039,,,terreiroalvorge.7103@amanhecer.pt,"https://www.google.com/maps?q=39.978635,-8.455039",
Saudade Supermercados,Estrada Nacional Nº 226 Penso nº136,3640 - 160,Sernancelhe,Viseu,40.92183,-7.538884,,,saudade.7102@amanhecer.pt,"https://www.google.com/maps?q=40.921830,-7.538884",
Supermercado Atlântico,Largo da Saudade nº299,2675 - 260,Odivelas,Lisboa,38.7835,-9.1769,,219342490,atlantico.7101@amanhecer.pt,"https://www.google.com/maps?q=38.7835,-9.1769",
Ga'Vizinha Mercearia da Aldeia,Largo de Santa Maria Madalena nº3 A,2580 - 101,Alenquer,Lisboa,39.08389,-9.09534,,,gavizinha.7100@amanhecer.pt,"https://www.google.com/maps?q=39.08389,-9.09534",
MARKETFISH,Avenida José Estevão nº322 Loja C,3830 - 554,Ílhavo,Aveiro,40.63689,-8.70479,,,marketfish.7099@amanhecer.pt,"https://www.google.com/maps?q=40.63689,-8.70479",
A Menina da Horta,Beco do Aterro,2525 - 828,Peniche,Leiria,39.33176,-9.2708,,,ameninadahorta.7098@amanhecer.pt,"https://www.google.com/maps?q=39.33176,-9.2708",
Planalto de Jales II,Estrada Nacional Nº 2 N17,5450 - 011,Vila Pouca de Aguiar,Vila Real,41.50451,-7.636196,,,planaltodejales2.7096@amanhecer.pt,"https://www.google.com/maps?q=41.50451,-7.636196",
Minimercado Quinta Nova,AV. Fernando Namora nº92,2820 - 271,Almada,Setúbal,38.630333,-9.1934,,,quintanova.7095@amanhecer.pt,"https://www.google.com/maps?q=38.630333,-9.193400",
A Loja da Grace,Rua Professor Matias Lopes Raposo nº596,2200 - 684,Abrantes,Santarém,39.500875,-8.09428,,,alojadagrace.7094@amanhecer.pt,"https://www.google.com/maps?q=39.500875,-8.094280",
Mercadinho do Demo,"Avenida 25 de abril nº32, R/C",3620 - 304,Moimenta da Beira,Viseu,40.97836,-7.612459,,,demo.7093@amanhecer.pt,"https://www.google.com/maps?q=40.97836,-7.612459",
RiqueSuper,Rua José Joaquim do Vale nº940,4750 - 797,Barcelos,Braga,41.544067,-8.704968,,,riquesuper.7092@amanhecer.pt,"https://www.google.com/maps?q=41.544067,-8.704968",
Frutaria e Minimercado Atlântico,Largo das Forças Armadas nº6,2970 - 095,Sesimbra,Setúbal,38.477025,-9.160145,,,atlantico.7091@amanhecer.pt,"https://www.google.com/maps?q=38.477025,-9.160145",
Supermercado 1º De Maio,Bairro 1º De Maio nº107-A,7520 - 107,Sines,Setúbal,37.957893,-8.860708,,964067566,1demaio.7090@amanhecer.pt,"https://www.google.com/maps?q=37.957893,-8.860708",
Loja do Gil,Estr. do Rio Velho nº1,2005 - 113,Santarém,Santarém,39.2409,-8.8643,,,lojadogil.7089@amanhecer.pt,"https://www.google.com/maps?q=39.2409,-8.8643",
Minimercado Melo,Largo do Jogo nº315,9580 - 186,Vila do Porto,Ilha de Santa Maria,36.984522,-25.115318,,296886269,minimercadomelo.7088@amanhecer.pt,"https://www.google.com/maps?q=36.984522,-25.115318",
Supermercado Leonídio,Praça 25 de Abril nº8,3130 - 040,Soure,Coimbra,40.147305,-8.580435,,239641341,leonidio.7087@amanhecer.pt,"https://www.google.com/maps?q=40.147305,-8.580435",
Mercadinho da Vila II,Rua da Igreja nº298,4755 - 266,Barcelos,Braga,41.438159,-8.633476,,,mercadinhodavila2.7086@amanhecer.pt,"https://www.google.com/maps?q=41.438159,-8.633476",
Mercado do Bairro,"Rua da Quinta do Amieiro de Cima nº112, Cave esquerda",6000 - 130,Castelo Branco,Castelo Branco,39.977299,-7.684018,,,mercadodobairro.7085@amanhecer.pt,"https://www.google.com/maps?q=39.977299,-7.684018",
O Cantinho da Andreia,"Rua Dr. Alfredo Ramos nº25, R/C",6230 - 698,Fundão,Castelo Branco,40.121633,-7.546249,,,cantinhoandreia.7084@amanhecer.pt,"https://www.google.com/maps?q=40.121633,-7.546249",
Super + 4 (Soajo),Estrada dos Espigueiros nº23,4970 - 655,Arcos de Valdevez,Viana do Castelo,41.872598,-8.265025,,258022389,super4.7083@amanhecer.pt,"https://www.google.com/maps?q=41.872598,-8.265025",
Minimercado Onda Azul,Urbanização Soltróia nº0,7570 - 788,Grândola,Setúbal,38.45925,-8.86244,,,ondaazul.7082@amanhecer.pt,"https://www.google.com/maps?q=38.45925,-8.86244",
Sabores do Vizinho,Rua São Silvestre nº1040,4820 - 400,Fafe,Braga,41.415565,-8.236639,,,saboresdovizinho.7081@amanhecer.pt,"https://www.google.com/maps?q=41.415565,-8.236639",
Mercadinho de Vimieiro,Rua  13 de Maio nº7,4705 - 748,Braga,Braga,41.511393,-8.461717,,,vimieiro.7080@amanhecer.pt,"https://www.google.com/maps?q=41.511393,-8.461717",
Supermercado Aurora,Rua do  Mfa nº21,8200 - 157,Albufeira,Faro,37.089212,-8.250555,,,aurora.7078@amanhecer.pt,"https://www.google.com/maps?q=37.089212,-8.250555",
Minimercado Capela,Rua da  Boavista nº17,7960 - 035,Vidigueira,Beja,38.12379,-7.64939,,,capela.7077@amanhecer.pt,"https://www.google.com/maps?q=38.12379,-7.64939",
Delícias do Cruzeiro,Avenida Reinaldo dos Santos nº21,2675 - 673,Odivelas,Lisboa,38.7951,-9.1907,,211329914,deliciascruzeiro.7076@amanhecer.pt,"https://www.google.com/maps?q=38.7951,-9.1907",
Supermercado Moderno,Largo do Santo nº17,5385 - 095,Mirandela,Bragança,41.654471,-7.128061,,,moderno.7075@amanhecer.pt,"https://www.google.com/maps?q=41.654471,-7.128061",
Loja da Rosário,"Rua Joaquim Porfirio da Silva nº5, R/C  Dto.",6000 - 406,Castelo Branco,Castelo Branco,39.829423,-7.476339,,,lojadarosario.7074@amanhecer.pt,"https://www.google.com/maps?q=39.829423,-7.476339",
Vila Super,"Rua Doutor José Colaço Fernandes nº28, r/c loja A",8900 - 027,Vila Real de Santo António,Faro,37.176581,-7.534492,,,vilasuper.7073@amanhecer.pt,"https://www.google.com/maps?q=37.176581,-7.534492",
Mercearia Vó Xica,Rua da  Cruz nº47,7220 - 528,Portel,Évora,38.356351,-7.908173,,,voxica.7071@amanhecer.pt,"https://www.google.com/maps?q=38.356351,-7.908173",
Mercearia da Boti,Rua Dom Pedro V nº48,2580 - 496,Alenquer,Lisboa,39.023461,-8.976927,,,merceariadaboti.7070@amanhecer.pt,"https://www.google.com/maps?q=39.023461,-8.976927",
A Feira 3,da Estação nº114,3225 - 018,Nelas,Viseu,40.495787,-7.905033,,232281038,afeira3.7069@amanhecer.pt,"https://www.google.com/maps?q=40.495787,-7.905033",
Mercadinho de Peniche,Rua das Traineiras nº7,2520 - 211,Peniche,Leiria,39.359276,-9.389045,,,peniche.7068@amanhecer.pt,"https://www.google.com/maps?q=39.359276,-9.389045",
Metro Super,Rua  Oliveira Cadornega Bairro das Amendoeiras LT 51 LJ nº0 B,1950 - 212,Lisboa,Lisboa,38.7547,-9.1105,,,metrosuper.7067@amanhecer.pt,"https://www.google.com/maps?q=38.7547,-9.1105",
Mercearia da Pampilhosa,Praça Barão de Loredo nº1A,3320 - 228,Pampilhosa da Serra,Coimbra,40.084891,-8.163357,,,pampilhosa.7064@amanhecer.pt,"https://www.google.com/maps?q=40.084891,-8.163357",
Mercearia À do Rui,Rua 25 DE ABRIL  nº89,7450 - 286,Monforte,Portalegre,39.093519,-7.512197,,,merceariadorui.7063@amanhecer.pt,"https://www.google.com/maps?q=39.093519,-7.512197",
Amanhecer J. Rodrigues - Seixas,Avenida  Joaquim Maria Portela nº0,4910 - 348,Caminha,Viana do Castelo,41.893276,-8.820599,,,joserodrigues@generalserv.pt,"https://www.google.com/maps?q=41.893276,-8.820599",
Amanhecer J. Rodrigues - Pinheiro Norte,Estrada Nacional  103 nº10,4830 - 165,Póvoa de Lanhoso,Braga,41.588681,-8.29776,,,joserodrigues@generalserv.pt,"https://www.google.com/maps?q=41.588681,-8.297760",
Minimercado Chainho,N261 nº10,7570 - 610,Grândola,Setúbal,38.14829,-8.72743,,269907142,chainho.7060@amanhecer.pt,"https://www.google.com/maps?q=38.14829,-8.72743",
