id,name,address,postalCode,district,city,latitude,longitude,hours,googleMapsUrl,cadeia,phone,email,storeUrl,category,services
,A Pérola da Freiria,Rua Engenheiro João Augusto Marcos Silva nº6,2565 - 321,Lisboa,Torres Vedras,39.02415,-9.3201,,"https://www.google.com/maps?q=39.02415,-9.32010",AMANHECER,,aperoladafreiria.3598@amanhecer.pt,,,
,A Quintinha de Forjães,Avenida de Santa Marinha nº90,4740 - 438,Braga,Esposende,41.606005,-8.742222,,"https://www.google.com/maps?q=41.606005,-8.742222",AMANHECER,,aquintinhadeforjaes.3043@amanhecer.pt,,,
,A Quintinha de Lanheses,Estrada Dona Maria I nº258,4925 - 406,Viana do Castelo,Viana do Castelo,41.73792,-8.681686,,"https://www.google.com/maps?q=41.737920,-8.681686",AMANHECER,258247640,aquintinhadelanheses.3047@amanhecer.pt,,,
,A Quintinha de Viana,Largo Frei João da Rocha nº0,4900 - 382,Viana do Castelo,Viana do Castelo,41.696258,-8.83975,,"https://www.google.com/maps?q=41.696258,-8.839750",AMANHECER,258811314,aquintinhadeviana.3044@amanhecer.pt,,,
,A Ribeirinha,Rua D. Sancho Manuel nº49,3250 - 294,Leiria,Alvaiázere,39.87608,-8.334098,,"https://www.google.com/maps?q=39.876080,-8.334098",AMANHECER,,aribeirinha.7131@amanhecer.pt,,,
,A Safra,"Rua Machado dos Santos 49 nº49, r/c",2430 - 249,Leiria,Marinha Grande,39.7509,-8.9322,,"https://www.google.com/maps?q=39.7509,-8.9322",AMANHECER,,asafra.7128@amanhecer.pt,,,
,A Sua Mercearia,Estrada Regional 222 nº429,9370 - 702,Ilha da Madeira,Calheta (Madeira),32.71502,-17.14974,,"https://www.google.com/maps?q=32.71502,-17.14974",AMANHECER,291823173,asuamercearia.3235@amanhecer.pt,,,
,A Venda do Lorde,Estrada da Piedade Resort Dreams Madeira nº0 Loja C9,9200 - 044,Ilha da Madeira,Machico,32.74196,-16.7107,,"https://www.google.com/maps?q=32.74196,-16.71070",AMANHECER,,vendadolorde.7030@amanhecer.pt,,,
,A Venda do Norte,"Sítio do Calhau, São Vicente nº50",9240 - 018,Ilha da Madeira,São Vicente,32.79673,-17.04323,,"https://www.google.com/maps?q=32.79673,-17.04323",AMANHECER,291143857,avendadonorte.3159@amanhecer.pt,,,
,A Venda do Silvestre,"Estrada Manuel Francisco Coelho nº38, r/c",9400 - 045,Ilha de Porto Santo,Porto Santo,33.06956,-16.33905,,"https://www.google.com/maps?q=33.06956,-16.33905",AMANHECER,,avendadosilvestre.3681@amanhecer.pt,,,
,Aldeia do Mundo,Estrada Nacional 114 nº31,2525 - 024,Leiria,Peniche,39.3396,-9.3268,,"https://www.google.com/maps?q=39.3396,-9.3268",AMANHECER,262750191,aldeiadomundo.3135@amanhecer.pt,,,
,Alfa Centauro Expresso,Estrada D. João V - Sítio do Saramago nº286,9240 - 216,Ilha da Madeira,São Vicente,32.78045,-17.03321,,"https://www.google.com/maps?q=32.78045,-17.03321",AMANHECER,291846020,alfacentauro.7152@amanhecer.pt,,,
,Alsan Supermercados,"Av. Nossa Senhora da Consolação, Ferreirim nº44",3640 - 072,Viseu,Sernancelhe,40.939771,-7.502044,,"https://www.google.com/maps?q=40.939771,-7.502044",AMANHECER,,alsan.7191@amanhecer.pt,,,
,Alva Market,"Rua Central de Cidoi nº1094, R/C",4745 - 058,Porto,Trofa,41.31238,-8.623688,,"https://www.google.com/maps?q=41.31238,-8.623688",AMANHECER,,alvamarket.3480@amanhecer.pt,,,
,Amanhecer Izeda,"Rua central , nº 133 nº133",5300 - 592,Bragança,Bragança,41.56766,-6.72148,,"https://www.google.com/maps?q=41.56766,-6.72148",AMANHECER,oscaresmenio@gmail.c,izeda.3590@amanhecer.pt,,,
,Amanhecer J. Rodrigues - Pinheiro Norte,Estrada Nacional  103 nº10,4830 - 165,Braga,Póvoa de Lanhoso,41.588681,-8.29776,,"https://www.google.com/maps?q=41.588681,-8.297760",AMANHECER,,joserodrigues@generalserv.pt,,,
,Amanhecer J. Rodrigues - Seixas,Avenida  Joaquim Maria Portela nº0,4910 - 348,Viana do Castelo,Caminha,41.893276,-8.820599,,"https://www.google.com/maps?q=41.893276,-8.820599",AMANHECER,,joserodrigues@generalserv.pt,,,
,Amanhecer Valhelhas,Estrada Nacional 232 nº0,6200 - 235,Guarda,Guarda,40.406763,-7.403018,,"https://www.google.com/maps?q=40.406763,-7.403018",AMANHECER,,amanhecervalhelhas.3792@amanhecer.pt,,,
,Amanhecer Vendeiro - Amorim,Rua da Póvoa nº634,4495 - 121,Porto,Póvoa de Varzim,41.398212,-8.741011,,"https://www.google.com/maps?q=41.398212,-8.741011",AMANHECER,,,,,
,Amanhecer Vendeiro - Arco de Baúlhe,EN206 km 80,4860 - 083,Braga,Cabeceiras de Basto,41.48765,-7.963591,,"https://www.google.com/maps?q=41.487650,-7.963591",AMANHECER,,sergio.vendeiro@mjvendeiro.pt,,,
,Amanhecer Vendeiro - Balazar,Rua da Fábrica nº343,4570 - 029,Porto,Póvoa de Varzim,41.414277,-8.653357,,"https://www.google.com/maps?q=41.414277,-8.653357",AMANHECER,,grupovendeiro@amanhecer.pt,,,
,Amanhecer Vendeiro - Cavalões,Rua Dr. José Araújo Carneiro nº466,4760 - 450,Braga,Vila Nova de Famalicão,41.416617,-8.570158,,"https://www.google.com/maps?q=41.416617,-8.570158",AMANHECER,,grupovendeiro@amanhecer.pt,,,
,Amanhecer Vendeiro - Escariz,Avenida da Liberdade nº175,4730 - 500,Braga,Vila Verde,41.636488,-8.528947,,"https://www.google.com/maps?q=41.636488,-8.528947",AMANHECER,,sergio.vendeiro@mjvendeiro.pt,,,
,Amanhecer Vendeiro - Penafiel,Rua da  Vista Alegre nº0,4560 - 511,Porto,Penafiel,41.2091,-8.277646,,"https://www.google.com/maps?q=41.209100,-8.277646",AMANHECER,,,,,
,Amanhecer Vendeiro - Póvoa de Varzim,Rua Gomes de Amorim nº0,4490 - 641,Porto,Póvoa de Varzim,41.384494,-8.764228,,"https://www.google.com/maps?q=41.384494,-8.764228",AMANHECER,,,,,
,Amanhecer Vendeiro - Rates,Rua Tomé de Sousa nº166,4570 - 417,Porto,Vila do Conde,41.42279,-8.670555,,"https://www.google.com/maps?q=41.422790,-8.670555",AMANHECER,,sergio.vendeiro@mjvendeiro.pt,,,
,Amanhecer Vendeiro - Terroso,Rua da  Estrada Nova nº837,4495 - 524,Porto,Póvoa de Varzim,41.411037,-8.739169,,"https://www.google.com/maps?q=41.411037,-8.739169",AMANHECER,,grupovendeiro@amanhecer.pt,,,
,Amanhecer de Castelo de Vide,Praça Dom Pedro V nº8,7320 - 113,Portalegre,Castelo de Vide,39.41514,-7.455858,,"https://www.google.com/maps?q=39.415140,-7.455858",AMANHECER,,castelodevide.3515@amanhecer.pt,,,
,Amanhecer na Mina,Rua 25 de Abril nº111,7750 - 130,Beja,Mértola,37.67207,-7.49906,,"https://www.google.com/maps?q=37.67207,-7.49906",AMANHECER,,namina.3506@amanhecer.pt,,,
,Armando Sousa Supermercados,Rua Voluntários 25 de Novembro nº52,2425 - 173,Leiria,Leiria,39.895876,-8.782906,,"https://www.google.com/maps?q=39.895876,-8.782906",AMANHECER,,armandosousa.3184@amanhecer.pt,,,
,Armazém - Sede Grupo Pão de Sal,Rua Armando Antunes da Silva nº10,7005 - 206,Évora,Évora,38.559354,-7.917569,,"https://www.google.com/maps?q=38.559354,-7.917569",AMANHECER,,armazemgrupopaodesal.3609@amanhecer.pt,,,
,Armazém Grupo Fresquinho,Avenida 16 de Junho nº97,8670 - 440,Faro,Aljezur,37.370871,-8.799945,,"https://www.google.com/maps?q=37.370871,-8.799945",AMANHECER,,armgrupofresquinho.3779@amanhecer.pt,,,
,Armazém Grupo O Cantinho D’Ana,"Zona Industrial do Pateiro, Ponte Charuto nº13 13/14",8400 - 651,Faro,Lagoa (Algarve),37.139694,-8.501615,,"https://www.google.com/maps?q=37.139694,-8.501615",AMANHECER,,armazemcantinhoana.3568@amanhecer.pt,,,
,As Manas Parente Supermercado,Estrada Municipal - Bairro Staf nº0,6225 - 051,Castelo Branco,Covilhã,40.153447,-7.748454,,"https://www.google.com/maps?q=40.153447,-7.748454",AMANHECER,,manasparente.7145@amanhecer.pt,,,
,Assaboeira Minimercado,Rua da Assaboeira nº1,7885 - 028,Beja,Moura,38.206601,-7.225613,,"https://www.google.com/maps?q=38.206601,-7.225613",AMANHECER,285988000,assaboeira.3130@amanhecer.pt,,,
,Atrium Saloio,Rua da Farmácia nº1,2665 - 015,Lisboa,Mafra,39.00639,-9.29059,,"https://www.google.com/maps?q=39.00639,-9.29059",AMANHECER,,atriumsaloio.3638@amanhecer.pt,,,
,Atrium Saloio II,Rua da Junta de Freguesia nº0 A,2640 - 335,Lisboa,Mafra,38.91792,-9.321581,,"https://www.google.com/maps?q=38.917920,-9.321581",AMANHECER,,atriumsaloio2.3773@amanhecer.pt,,,
,Atrium Saloio III,Rua Nova nº1,2640 - 728,Lisboa,Mafra,38.91943,-9.29152,,"https://www.google.com/maps?q=38.91943,-9.29152",AMANHECER,,atriumsaloio3.3898@amanhecer.pt,,,
,BOUTIQUE DA FRUTA,"Rua Gregório Lopes nº1523, RC Loja 2",1449 - 041,Lisboa,Lisboa,38.7113,-9.2128,,"https://www.google.com/maps?q=38.7113,-9.2128",AMANHECER,,boutiquedafruta.3876@amanhecer.pt,,,
,Balcão Agrícola,Avenida Clube Desportivo Pataiense nº4 A e B,2445 - 201,Leiria,Alcobaça,39.7829,-8.9303,,"https://www.google.com/maps?q=39.7829,-8.9303",AMANHECER,,balcaoagricola.3583@amanhecer.pt,,,
,Balcão Agrícola - Garcia,Rua Central nº114 A,2430 - 017,Leiria,Marinha Grande,39.782904,-8.930216,,"https://www.google.com/maps?q=39.782904,-8.930216",AMANHECER,,balcaoagricolagarcia.7199@amanhecer.pt,,,
,Bela Fonte Supermercados,Rua da Fonte nº2,3850 - 426,Aveiro,Albergaria-a-Velha,40.67774,-8.55745,,"https://www.google.com/maps?q=40.67774,-8.55745",AMANHECER,,belafontesupermerc.3656@amanhecer.pt,,,
,Bela Fonte Supermercados II,Dra Domitília Miranda de Carvalho nº8 nº8,3850 - 365,Aveiro,Albergaria-a-Velha,40.61875,-8.51015,,"https://www.google.com/maps?q=40.61875,-8.51015",AMANHECER,,belafontesupermerc2.3724@amanhecer.pt,,,
,Bemposta Supermercado,Largo da bemposta nº11,2495 - 186,Leiria,Leiria,39.672604,-8.683684,,"https://www.google.com/maps?q=39.672604,-8.683684",AMANHECER,,bemposta.7124@amanhecer.pt,,,
,CASA DO CAFÉ DO POTE D'ÁGUA,Rua Dom João de Castro nº38 A/B,1300 - 193,Lisboa,Lisboa,38.70486,-9.19001,,"https://www.google.com/maps?q=38.70486,-9.19001",AMANHECER,213638936,casadocafedopotedagua.3715@amanhecer.pt,,,
,Cabaz da Barra,Rua da Medrosa nº36 B,2780 - 875,Lisboa,Oeiras,38.683294,-9.323683,,"https://www.google.com/maps?q=38.683294,-9.323683",AMANHECER,214414474,cabazdabarra.3308@amanhecer.pt,,,
,Cantinho da Aldeia,Rua Tenente Alves de Sousa nº11,2305 - 518,Santarém,Tomar,39.541751,-8.47365,,"https://www.google.com/maps?q=39.541751,-8.473650",AMANHECER,,cantinhodaaldeia.3894@amanhecer.pt,,,
,Casa D'Irene,"Bairro de Santa Apolónia nº202, R/C Esq",3610 - 131,Viseu,Tarouca,41.027137,-7.773135,,"https://www.google.com/maps?q=41.027137,-7.773135",AMANHECER,,casadirene.3578@amanhecer.pt,,,
,Casa Morgado,Rua do Paço Velho nº25,3360 - 258,Coimbra,Penacova,40.29784,-8.16804,,"https://www.google.com/maps?q=40.29784,-8.16804",AMANHECER,239 456 493,casamorgado.3863@amanhecer.pt,,,
,Casa Neca,Rua dos Picoutos nº278,4775 - 086,Braga,Barcelos,41.452978,-8.599593,,"https://www.google.com/maps?q=41.452978,-8.599593",AMANHECER,,casaneca.7025@amanhecer.pt,,,
,Casa Sá,RUA PADRE AVELINO ALVES nº28,4740 - 011,Braga,Esposende,41.603628,-8.769248,,"https://www.google.com/maps?q=41.603628,-8.769248",AMANHECER,253871130,casasa.3646@amanhecer.pt,,,
,Centro Comercial Costa - Loja I,Rua de Lagoas nº35/37,4815 - 687,Braga,Vizela,41.371168,-8.28851,,"https://www.google.com/maps?q=41.371168,-8.288510",AMANHECER,,costaloja1.7177@amanhecer.pt,,,
,Centro Comercial Costa - Loja II,Rua de Lagoas nº573,4815 - 687,Braga,Vizela,41.37105,-8.295112,,"https://www.google.com/maps?q=41.37105,-8.295112",AMANHECER,,costaloja2.7178@amanhecer.pt,,,
,Cesto Cheio,"Rua Basto Machado nº5, r/c",9000 - 736,Ilha da Madeira,Funchal,32.641672,-16.947807,,"https://www.google.com/maps?q=32.641672,-16.947807",AMANHECER,291775199,cestocheio.3015@amanhecer.pt,,,
,Cooperativa de Consumo Ervedalense,Rua Almirante Cândido dos Reis nº2,7480 - 289,Portalegre,Avis,39.04263,-7.812545,,"https://www.google.com/maps?q=39.042630,-7.812545",AMANHECER,,consumoervedalense.3784@amanhecer.pt,,,
,Delimarket Alcaidaria,Estrada Principal nº336,2415 - 019,Leiria,Leiria,39.849604,-8.97913,,"https://www.google.com/maps?q=39.849604,-8.979130",AMANHECER,244826420,dlmalcaidaria.7000@amanhecer.pt,,,
,Delimarket Bajouca,Largo da Feira nº3,2425 - 165,Leiria,Leiria,39.893779,-8.779468,,"https://www.google.com/maps?q=39.893779,-8.779468",AMANHECER,244684120,dlmbajouca.3998@amanhecer.pt,,,
,Delimarket Bidoeira,"Rua Principal nº590, R/C Esq",2415 - 002,Leiria,Leiria,39.843066,-8.744274,,"https://www.google.com/maps?q=39.843066,-8.744274",AMANHECER,244724433,dlmbidoeira.3999@amanhecer.pt,,,
,Delimarket Vale da Pedra,Rua Principal nº1331,2425 - 884,Leiria,Leiria,39.862552,-8.78128,,"https://www.google.com/maps?q=39.862552,-8.781280",AMANHECER,244614437,dlmvaledapedra.3996@amanhecer.pt,,,
,Delimarket Várzeas,"Estrada Nacional 109 nº222, R/C Esquerdo",2425 - 891,Leiria,Leiria,39.849604,-8.97913,,"https://www.google.com/maps?q=39.849604,-8.979130",AMANHECER,244612010,dlmvarzeas.3997@amanhecer.pt,,,
,Delícias do Cruzeiro,Avenida Reinaldo dos Santos nº21,2675 - 673,Lisboa,Odivelas,38.7951,-9.1907,,"https://www.google.com/maps?q=38.7951,-9.1907",AMANHECER,211329914,deliciascruzeiro.7076@amanhecer.pt,,,
,Dona Chefa,Aldeia dos Pescadores nº0,2510 - 661,Leiria,Óbidos,39.42252,-9.229538,,"https://www.google.com/maps?q=39.422520,-9.229538",AMANHECER,,donachefa.3696@amanhecer.pt,,,
,Dona Fruta Sines,Rua António Aleixo nº3,7520 - 171,Setúbal,Sines,37.95647,-8.87241,,"https://www.google.com/maps?q=37.95647,-8.87241",AMANHECER,,donafrutasines.3716@amanhecer.pt,,,
,ESuper,Rua Doutor Joaquim Carlos Cunha Cerqueira nº137,4970 - 457,Viana do Castelo,Arcos de Valdevez,41.851019,-8.423534,,"https://www.google.com/maps?q=41.851019,-8.423534",AMANHECER,258248402,esuper.3988@amanhecer.pt,,,
,Engenho Velho,Rua do Engenho Velho nº168,9000 - 775,Ilha da Madeira,Funchal,32.647367,-16.940418,,"https://www.google.com/maps?q=32.647367,-16.940418",AMANHECER,291741171,engenhovelho.3189@amanhecer.pt,,,
,Espiral de Frescos II,Rua Principal nº91,2500 - 796,Leiria,Caldas da Rainha,39.4314,-9.0116,,"https://www.google.com/maps?q=39.4314,-9.0116",AMANHECER,,espiraldefrescos2.3842@amanhecer.pt,,,
,Farnel,Rua Cândido dos Reis nº6,5400 - 163,Vila Real,Chaves,41.741179,-7.470795,,"https://www.google.com/maps?q=41.741179,-7.470795",AMANHECER,flavicafes@sapo.pt,merceariafarnel.3564@amanhecer.pt,,,
,Fica no Ovídio,Rua António Rodrigues da Rocha nº285,4400 - 025,Porto,Vila Nova de Gaia,41.116252,-8.60915,,"https://www.google.com/maps?q=41.116252,-8.609150",AMANHECER,220737582,ficanoovidio.3355@amanhecer.pt,,,
,Flor de Armamar,Praça da República nº4,5110 - 127,Viseu,Armamar,41.10924,-7.692719,,"https://www.google.com/maps?q=41.10924,-7.692719",AMANHECER,254858417,flordearmamar.3080@amanhecer.pt,,,
,Frescos A-dos-Cunhados,Rua de Dom Manuel II nº88,2560 - 016,Lisboa,Torres Vedras,39.16254,-9.29794,,"https://www.google.com/maps?q=39.16254,-9.29794",AMANHECER,261 985 427,frescosadoscunhados.3243@amanhecer.pt,,,
,Frescos Santo André,Rua de Santo André de Cima nº248,4495 - 040,Porto,Póvoa de Varzim,41.419146,-8.778824,,"https://www.google.com/maps?q=41.419146,-8.778824",AMANHECER,252601347,frescossantoandre.3215@amanhecer.pt,,,
,Frescos Supermercados I,"Avenida do Sabor nº82, R/C",5300 - 367,Bragança,Bragança,41.81179,-6.745072,,"https://www.google.com/maps?q=41.811790,-6.745072",AMANHECER,,frescossupermercados.3531@amanhecer.pt,,,
,Frescos Supermercados II,Avenida Doutor Francisco Sá Carneiro nº368,5300 - 252,Bragança,Bragança,41.794896,-6.770772,,"https://www.google.com/maps?q=41.794896,-6.770772",AMANHECER,superfrescos@LIVE.CO,frescossupermercados2.3561@amanhecer.pt,,,
,Frescos Supermercados III,Rua dos Combatentes da Grande Guerra nº189,5300 - 113,Bragança,Bragança,41.80565,-6.755719,,"https://www.google.com/maps?q=41.80565,-6.755719",AMANHECER,,frescos3.7166@amanhecer.pt,,,
,Frescos do Oeste II ( Caldas Da Rainha),"Rua Cardeal Alpedrinha nº66, R/C",2500 - 843,Leiria,Caldas da Rainha,39.4108,-9.1484,,"https://www.google.com/maps?q=39.4108,-9.1484",AMANHECER,,frescosdooeste2cr.3697@amanhecer.pt,,,
,Fruta & Pão,Rua Vitorino Nemésio nº10 A,1750 - 307,Lisboa,Lisboa,38.7817,-9.1599,,"https://www.google.com/maps?q=38.7817,-9.1599",AMANHECER,217524055,frutaepao.3028@amanhecer.pt,,,
,Fruta Pão,Avenida de Santa Marta nº38 B,2605 - 698,Lisboa,Sintra,38.7976,-9.2355,,"https://www.google.com/maps?q=38.7976,-9.2355",AMANHECER,,frutapao.7172@amanhecer.pt,,,
,Frutaria do Bairro,"Rua 4 de Outubro nº46, Rch",7005 - 279,Évora,Évora,38.5934,-7.9024,,"https://www.google.com/maps?q=38.5934,-7.9024",AMANHECER,,frutariadobairro.3713@amanhecer.pt,,,
,Frutaria e Minimercado Atlântico,Largo das Forças Armadas nº6,2970 - 095,Setúbal,Sesimbra,38.477025,-9.160145,,"https://www.google.com/maps?q=38.477025,-9.160145",AMANHECER,,atlantico.7091@amanhecer.pt,,,
,Frutas e Companhia,Urbanização Pinhal do Moinho LT 32 nº0,7645 - 295,Beja,Odemira,37.729724,-8.781062,,"https://www.google.com/maps?q=37.729724,-8.781062",AMANHECER,283996251,frutasecompanhia.3317@amanhecer.pt,,,
,Ga'Vizinha Mercearia da Aldeia,Largo de Santa Maria Madalena nº3 A,2580 - 101,Lisboa,Alenquer,39.08389,-9.09534,,"https://www.google.com/maps?q=39.08389,-9.09534",AMANHECER,,gavizinha.7100@amanhecer.pt,,,
,Grand Villa Canha,Rua do Castelo nºn 18,2985 - 015,Setúbal,Montijo,38.766488,-8.626462,,"https://www.google.com/maps?q=38.766488,-8.626462",AMANHECER,,grandvillacanha.7114@amanhecer.pt,,,
,Guerra de Sabores,LARGO FONTES PEREIRA DE MELO nº45,7440 - 251,Portalegre,Alter do Chão,39.320458,-7.809521,,"https://www.google.com/maps?q=39.320458,-7.809521",AMANHECER,245697061,guerradossabores.3057@amanhecer.pt,,,
,Hacatudo,Largo José Batista Janeiro nº1,7300 - 588,Portalegre,Portalegre,39.224287,-7.400979,,"https://www.google.com/maps?q=39.224287,-7.400979",AMANHECER,245308006,hacatudo.3052@amanhecer.pt,,,
,Infante,Avenida Colégio Infante de Sagres nº2 Frente A,3060 - 229,Coimbra,Cantanhede,40.35513,-8.59565,,"https://www.google.com/maps?q=40.35513,-8.59565",AMANHECER,231423854,infante.3183@amanhecer.pt,,,
,L D Supermercados,Rua Manuel Barbosa nº28,4560 - 187,Porto,Penafiel,41.125138,-8.369777,,"https://www.google.com/maps?q=41.125138,-8.369777",AMANHECER,255095940,ldsupermercados.3866@amanhecer.pt,,,
,Lidermarche Supermercado,Praça das Associações nº0,4690 - 363,Viseu,Cinfães,41.001463,-8.179327,,"https://www.google.com/maps?q=41.001463,-8.179327",AMANHECER,256 958 043,lidermarche.3279@amanhecer.pt,,,
,Loja Calado,Rua Poetas Populares nº0,7160 - 219,Évora,Vila Viçosa,38.774961,-7.414375,,"https://www.google.com/maps?q=38.774961,-7.414375",AMANHECER,268980841,lojacalado.3089@amanhecer.pt,,,
,Loja Tavares,Rua Martír São Sebastião nº0,3505 - 137,Viseu,Viseu,40.747,-7.80948,,"https://www.google.com/maps?q=40.74700,-7.80948",AMANHECER,232922378,lojatavares.3172@amanhecer.pt,,,
,Loja Tradicional,Largo 11 Julho nº0,6215 - 601,Castelo Branco,Covilhã,40.259108,-7.623619,,"https://www.google.com/maps?q=40.259108,-7.623619",AMANHECER,,lojatradicional.3520@amanhecer.pt,,,
,Loja d' Aldeia,Rua da Taberna nº11 A,2230 - 008,Santarém,Sardoal,39.57274,-8.12289,,"https://www.google.com/maps?q=39.57274,-8.12289",AMANHECER,,lojadaldeia.3665@amanhecer.pt,,,
,Loja da Ana,Rua Direita nº70,2140 - 665,Santarém,Chamusca,39.41365,-8.422543,,"https://www.google.com/maps?q=39.413650,-8.422543",AMANHECER,249741323,lojadaana.3035@amanhecer.pt,,,
,Loja da Baixa,Rua dos Correeiros nº8,1100 - 166,Lisboa,Lisboa,38.709799,-9.136848,,"https://www.google.com/maps?q=38.709799,-9.136848",AMANHECER,213261581,lojadabaixa.3001@amanhecer.pt,,,
,Loja da Cilinha,Rua da ermida nº9,2565 - 773,Lisboa,Torres Vedras,39.022858,-9.277877,,"https://www.google.com/maps?q=39.022858,-9.277877",AMANHECER,,lojadacilinha.7018@amanhecer.pt,,,
,Loja da Rosário,"Rua Joaquim Porfirio da Silva nº5, R/C  Dto.",6000 - 406,Castelo Branco,Castelo Branco,39.829423,-7.476339,,"https://www.google.com/maps?q=39.829423,-7.476339",AMANHECER,,lojadarosario.7074@amanhecer.pt,,,
,Loja da Sandra,Rua Joaquim Pereira Matos nº74/76,6260 - 143,Guarda,Manteigas,40.402821,-7.542131,,"https://www.google.com/maps?q=40.402821,-7.542131",AMANHECER,,lojadasandra.3111@amanhecer.pt,,,
,Loja da Silvie,Rua Engenheiro Aguiar de Carvalho nº26,3090 - 484,Coimbra,Figueira da Foz,40.05532,-8.89096,,"https://www.google.com/maps?q=40.055320,-8.890960",AMANHECER,233950423,lojadasilvie.3094@amanhecer.pt,,,
